duckId	Score	Background	Skin	Foot	Body	Face	Open sea
0	15.329434715784952	Pastel Pink	Base Naked	Duck	Naked	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/0
1	40.46008265142585	Blue	Base Naked	Duck	Farmer	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/1
2	34.19526601262284	Orange	Bronze Shiny	Nerd	Naked	Happy	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/2
3	32.15471281297252	Pastel Pink	Icy Blue	Duck	Naked	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/3
4	20.486974396705623	Orange	Base Naked	Duck	Nerd	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/4
5	38.595519636866946	Salmon	Yeti White	Duck	Hypebeast	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/5
6	52.94426902224666	Hot Pink	Yeti White	Duck	Naked	Happy	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/6
7	67.1742547322412	Tiffany Blue	Doge	Pants Shoes	Hoodie	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/7
8	33.7612434411852	Pastel Pink	Icy Blue	Duck	Jacket	Nerd	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/8
9	36.529798456203785	Pastel Pink	Base Naked	Nerd	Collar	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/9
10	55.8984344437094	Hot Pink	Bronze Shiny	Duck	Flannel	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/10
11	56.988229264864565	Salmon	Base Naked	Hypebeast	Fireman	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/11
12	31.822954661298485	Pastel Blue	Base Naked	Pants Shoes	Jacket	Mad	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/12
13	52.42726107287544	Pastel Blue	Unicorn Pink	Nerd	Naked	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/13
14	42.795275211940584	Blue	Mallard	Nerd	Nerd	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/14
15	64.17151972413255	Tiffany Blue	Icy Blue	Nerd	Naked	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/15
16	80.4304855255858	Hot Pink	Grimace Purple	Farmer	Nerd	Mad	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/16
17	23.605506266289446	Cloud	Icy Blue	Duck	Naked	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/17
18	31.11680298682659	Blue	Doge	Duck	Hypebeast	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/18
19	38.48656737449596	Blue	Icy Blue	Duck	Naked	Nerd	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/19
20	29.036545881851836	Salmon	Icy Blue	Duck	Nerd	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/20
21	45.25364226628653	Pastel Blue	Base Naked	Duck	Jacket	Mad	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/21
22	31.483163907934905	Pastel Blue	Base Naked	Pants Shoes	Naked	Pirate	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/22
23	28.955828611183765	Tiffany Blue	Base Naked	Nerd	Hypebeast	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/23
24	42.63922661443739	Orange	Bronze Shiny	Duck	Collar	Nerd	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/24
25	42.78204345890212	Blue	Base Naked	Nerd	Hypebeast	Happy	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/25
26	49.661681945560716	Pastel Blue	Icy Blue	Pants Shoes	Hypebeast	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/26
27	21.788903897975715	Pastel Blue	Base Naked	Pants Shoes	Jacket	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/27
28	40.03295726753789	Salmon	Base Naked	Nerd	Jacket	Nerd	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/28
29	76.0537128625938	Orange	Icy Blue	Pants Shoes	Hypebeast	Happy	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/29
30	55.16391516148301	Orange	Base Naked	Duck	Jacket	Sleep	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/30
31	83.69151686970837	Orange	Grimace Purple	Duck	Farmer	Santa	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/31
32	77.65384499816011	Cloud	Bronze Shiny	Nerd	Flannel	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/32
33	63.50616046357658	Orange	Zombie Green	Hypebeast	Jacket	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/33
34	37.21742917821582	Cloud	Unicorn Pink	Nerd	Naked	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/34
35	84.7626306420151	Pastel Blue	Zombie Green	Duck	Jacket	Pirate	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/35
36	159.85610346953194	Pastel Yellow	Base Naked	Duck	Suit	Fomo	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/36
37	26.797691062101222	Neon Green	Grimace Purple	Duck	Nerd	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/37
38	21.38778928069365	Pastel Blue	Base Naked	Duck	Naked	Nerd	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/38
39	34.779320445793736	Pastel Blue	Grimace Purple	Duck	Hypebeast	Nerd	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/39
40	48.49734122913665	Pastel Pink	Mallard	Pants Shoes	Bowtie	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/40
41	23.48898795167593	Cloud	Doge	Duck	Naked	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/41
42	78.65565595712101	Pastel Pink	Unicorn Pink	Duck	Hoodie	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/42
43	19.153317380102063	Pastel Blue	Base Naked	Duck	Jacket	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/43
44	21.105587070964095	Pastel Blue	Bronze Shiny	Duck	Naked	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/44
45	81.14409423647305	Orange	Zombie Green	Nerd	Naked	Happy	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/45
46	36.57648283361783	Tiffany Blue	Grimace Purple	Duck	Naked	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/46
47	30.94535041796201	Pastel Blue	Unicorn Pink	Duck	Naked	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/47
48	21.873534950491656	Orange	Base Naked	Duck	Naked	Happy	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/48
49	48.97009847362327	Neon Green	Yeti White	Pants Shoes	Naked	Happy	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/49
50	51.47522303624784	Pastel Pink	Doge	Pants Shoes	Bowtie	Mad	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/50
51	58.46176999160775	Orange	Base Naked	Hypebeast	Farmer	Mad	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/51
52	97.83809043300897	Cloud	Steel Shiny	Duck	Farmer	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/52
53	32.89710632335801	Salmon	Bronze Shiny	Hypebeast	Jacket	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/53
54	43.0956691692995	Blue	Base Naked	Pants Shoes	Farmer	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/54
55	81.49126221778522	Hot Pink	Grimace Purple	Duck	Nerd	Nerd	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/55
56	63.33365947654197	Hot Pink	Penguin Black	Duck	Naked	Angry	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/56
57	53.298270961589566	Pastel Pink	Yeti White	Hypebeast	Hypebeast	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/57
58	65.69478243233672	Orange	Doge	Hypebeast	TShirt HS	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/58
59	21.366651223173026	Pastel Yellow	Grimace Purple	Duck	Naked	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/59
60	28.720965881399184	Pastel Blue	Grimace Purple	Duck	Hypebeast	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/60
61	41.61236169957239	Pastel Pink	Doge	Hypebeast	Jacket	Nerd	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/61
62	62.44958180568125	Pastel Pink	Unicorn Pink	Pants Shoes	Naked	Fomo	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/62
63	49.523601034858956	Pastel Yellow	Mallard	Duck	Jacket	Nerd	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/63
64	23.728737386084713	Blue	Grimace Purple	Pants Shoes	Naked	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/64
65	63.592630446811626	Pastel Pink	Mallard	Duck	Hoodie	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/65
66	81.84605796519122	Blue	Zombie Green	Duck	Naked	Pirate	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/66
67	46.90957711307354	Pastel Blue	Doge	Duck	Hypebeast	Normal	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/67
68	77.52226329044488	Pastel Blue	Grimace Purple	Nerd	Farmer	Angry	https://opensea.io/assets/0x78f190efe7b9198b76207f14d90ba96fb782680e/68
